,ntraj,x,y,z,subvol,time,boxface,temp,sal,density,density10,ntrajc
21,22,602.0,348.25,8.5,537795034.03,0.0,2,16.87,34.68,25.18,0.01,197533130
21,22,604.0,330.5,8.5,978817738.91,0.0,2,15.13,34.35,25.32,0.01,198840428
21,22,607.0,317.5,8.5,910082805.17,0.0,2,13.58,34.29,25.61,0.01,200147314
21,22,610.0,51.5,8.5,124828429.82,0.0,2,-1.76,33.5,26.83,0.01,201450168
1302970,22,613.0,360.75,8.5,570085326.69,0.0,2,18.79,35.25,25.14,0.01,202753117
21,22,617.0,349.25,8.5,540492033.64,0.0,2,17.11,34.59,25.06,0.01,204052124
1286646,22,619.0,66.5,8.5,141500400.27,0.0,2,-1.8,33.81,27.09,0.01,205338749
21,22,623.0,54.5,8.5,128004921.56,0.0,2,-1.72,33.45,26.8,0.01,206611001
1257510,22,625.0,54.5,8.5,128004921.56,0.0,2,-1.64,33.33,26.69,0.02,207868490
21,22,628.0,55.5,8.5,129080841.87,0.0,2,-1.69,33.4,26.75,0.01,209108905
1221328,22,631.0,103.5,8.5,192113358.52,0.0,2,-1.76,33.71,27.01,0.01,210330212
21,22,635.0,390.75,8.5,648105629.52,0.0,2,22.41,35.64,24.46,0.01,211545362
1211767,22,638.0,51.5,9.5,142319382.54,0.0,2,-1.69,32.68,26.17,0.03,212757108
21,22,641.0,60.5,9.5,153450278.7,0.0,2,-1.83,32.78,26.25,0.02,213954520
1184833,22,644.0,128.5,8.5,235394381.9,0.0,2,-1.63,33.52,26.85,0.02,215139332
21,22,647.0,59.5,9.5,152173603.72,0.0,2,-1.82,32.55,26.07,0.02,216309763
1161038,22,650.0,56.5,9.5,148404178.7,0.0,2,-1.8,32.41,25.95,0.01,217470780
21,22,654.0,53.5,9.5,144724085.14,0.0,2,-1.76,32.5,26.03,0.02,218627998
1153926,22,657.0,130.5,8.5,239217834.12,0.0,2,-1.56,33.55,26.87,0.01,219781903
21,22,659.0,55.5,9.5,147167642.34,0.0,2,-1.81,32.28,25.85,0.01,220926122
1133079,22,663.0,56.5,9.5,148404178.7,0.0,2,-1.81,32.6,26.11,0.02,222059180
21,22,666.0,53.5,9.5,144724085.14,0.0,2,-1.76,32.35,25.91,0.02,223176025
1102234,22,669.0,53.5,9.5,144724085.14,0.0,2,-1.78,32.34,25.9,0.02,224278238
21,22,671.0,53.5,9.5,144724085.14,0.0,2,-1.66,32.25,25.82,0.02,225372735
1089070,22,674.0,119.5,8.5,218871660.27,0.0,2,-1.74,33.56,26.89,0.01,226461784
21,22,677.0,119.5,8.5,218871660.27,0.0,2,-1.74,33.54,26.86,0.01,227539892
1065160,22,680.0,118.5,8.5,217103199.44,0.0,2,-1.75,33.53,26.86,0.02,228605031
21,22,682.0,117.5,8.5,215347903.1,0.0,2,-1.75,33.52,26.86,0.02,229658640
1043852,22,686.0,58.5,8.5,132360706.36,0.0,2,-1.73,33.47,26.81,0.01,230702471
21,22,689.0,58.5,8.5,132360706.36,0.0,2,-1.72,33.38,26.74,0.01,231733869
1016906,22,692.0,59.5,8.5,133471574.1,0.0,2,-1.7,33.35,26.71,0.02,232750754
21,22,694.0,59.5,8.5,133471574.1,0.0,2,-1.69,33.27,26.65,0.02,233749978
981209,22,697.0,57.5,8.5,131258674.17,0.0,2,-1.68,33.05,26.47,0.03,234731166
21,22,701.0,57.5,8.5,131258674.17,0.0,2,-1.65,32.75,26.22,0.06,235696776
958058,22,703.0,57.5,8.5,131258674.17,0.0,2,-1.7,32.59,26.1,0.06,236654813
21,22,707.0,63.5,8.5,138004676.59,0.0,2,-1.75,33.3,26.67,0.04,237621187
986793,22,711.0,115.5,8.5,211876511.72,0.0,2,-1.78,33.52,26.86,0.01,238607959
21,22,714.0,119.5,8.5,218871660.27,0.0,2,-1.5,33.45,26.79,0.02,239618168
1033262,22,716.0,118.5,8.5,217103199.44,0.0,2,-1.57,33.42,26.76,0.02,240651409
21,22,719.0,63.5,8.5,138004676.59,0.0,2,-1.78,33.29,26.66,0.03,241709363
1070472,22,722.0,59.5,8.5,133471574.1,0.0,2,-1.73,33.06,26.48,0.08,242779814
21,22,724.0,53.5,8.5,126937596.15,0.0,2,-1.8,33.18,26.58,0.01,243863078
1093389,22,727.0,68.5,8.5,143877551.64,0.0,2,-1.69,33.26,26.64,0.04,244956446
21,22,730.0,68.5,8.5,143877551.64,0.0,2,-1.72,32.51,26.03,0.03,246058145
1116310,22,734.0,85.5,8.5,165669905.81,0.0,2,-1.79,33.52,26.85,0.01,247174434
21,22,738.0,49.5,9.5,139952981.25,0.0,2,-1.13,31.36,25.09,0.01,248301387
1130945,22,741.0,79.5,9.5,179733573.41,0.0,2,-1.76,32.8,26.27,0.02,249432311
