,ntraj,x,y,z,subvol,time,boxface,temp,sal,density,density10,ntrajc,binnedx_i,binnedy_i,bin_depth_i
1437778,630529,1437.0,299.62,61.25,9223878099.05,-31104000.0,1,1.11,34.74,27.83,1.49,359161172,1437,300,61
1437779,630530,1437.0,299.87,61.75,9223878099.05,-31104000.0,1,1.11,34.74,27.83,1.49,359161173,1437,300,62
1437780,630531,1437.0,299.87,61.25,9223878099.05,-31104000.0,1,1.11,34.74,27.83,1.49,359161174,1437,300,61
1437781,630532,1437.0,299.12,62.75,9350010290.58,-31104000.0,1,0.98,34.73,27.83,1.49,359161175,1437,299,63
1437782,630533,1437.0,299.12,62.25,9350010290.58,-31104000.0,1,0.98,34.73,27.83,1.49,359161176,1437,299,62
1437783,630534,1437.0,299.37,62.75,9350010290.58,-31104000.0,1,0.98,34.73,27.83,1.49,359161177,1437,299,63
1437784,630535,1437.0,299.37,62.25,9350010290.58,-31104000.0,1,0.98,34.73,27.83,1.49,359161178,1437,299,62
1437785,630536,1437.0,299.62,62.75,9350010290.58,-31104000.0,1,0.98,34.73,27.83,1.49,359161179,1437,300,63
1437786,630537,1437.0,299.62,62.25,9350010290.58,-31104000.0,1,0.98,34.73,27.83,1.49,359161180,1437,300,62
1437787,630538,1437.0,299.87,62.75,9350010290.58,-31104000.0,1,0.98,34.73,27.83,1.49,359161181,1437,300,63
1437788,630539,1437.0,299.87,62.25,9350010290.58,-31104000.0,1,0.98,34.73,27.83,1.49,359161182,1437,300,62
1437789,630540,1437.0,299.16,63.75,8352853778.06,-31104000.0,1,0.92,34.73,27.83,1.49,359161183,1437,299,64
1437790,630541,1437.0,299.16,63.25,8352853778.06,-31104000.0,1,0.92,34.73,27.83,1.49,359161184,1437,299,63
1437791,630542,1437.0,299.5,63.75,8352853778.06,-31104000.0,1,0.92,34.73,27.83,1.49,359161185,1437,300,64
1437792,630543,1437.0,299.5,63.25,8352853778.06,-31104000.0,1,0.92,34.73,27.83,1.49,359161186,1437,300,63
1437793,630544,1437.0,299.83,63.75,8352853778.06,-31104000.0,1,0.92,34.73,27.83,1.49,359161187,1437,300,64
1437794,630545,1437.0,299.83,63.25,8352853778.06,-31104000.0,1,0.92,34.73,27.83,1.49,359161188,1437,300,63
1437795,630546,1438.0,299.5,9.5,932520774.12,-31104000.0,2,12.06,34.72,26.36,0.01,359161189,1438,300,10
1437796,630547,1438.0,299.5,10.5,1067670129.5,-31104000.0,2,12.03,34.73,26.37,0.02,359161190,1438,300,11
1437797,630548,1438.0,299.5,11.5,1223922061.82,-31104000.0,2,12.0,34.73,26.38,0.03,359161191,1438,300,12
1437798,630549,1438.0,299.5,12.5,1400552791.96,-31104000.0,2,11.97,34.73,26.39,0.04,359161192,1438,300,13
1437799,630550,1438.0,299.5,13.5,1595475906.66,-31104000.0,2,11.94,34.74,26.4,0.04,359161193,1438,300,14
1437800,630551,1438.0,299.5,14.5,1805514678.96,-31104000.0,2,11.91,34.74,26.4,0.05,359161194,1438,300,15
1437801,630552,1438.0,299.5,15.5,2027036137.35,-31104000.0,2,11.89,34.75,26.41,0.06,359161195,1438,300,16
1437802,630553,1438.0,299.5,16.5,2256801339.69,-31104000.0,2,11.86,34.75,26.42,0.07,359161196,1438,300,17
1437803,630554,1438.0,299.5,17.5,2492778486.97,-31104000.0,2,11.82,34.77,26.44,0.09,359161197,1438,300,18
1437804,630555,1438.0,299.5,18.5,2734692068.29,-31104000.0,2,11.77,34.8,26.47,0.12,359161198,1438,300,19
1437805,630556,1438.0,299.5,19.5,2984204908.26,-31104000.0,2,11.7,34.83,26.51,0.16,359161199,1438,300,20
1437806,630557,1438.0,299.5,20.5,3244782663.72,-31104000.0,2,11.57,34.85,26.55,0.2,359161200,1438,300,21
1437807,630558,1438.0,299.5,21.5,3521383217.04,-31104000.0,2,11.4,34.86,26.6,0.25,359161201,1438,300,22
1437808,630559,1438.0,299.5,22.5,3820111724.54,-31104000.0,2,11.23,34.87,26.63,0.28,359161202,1438,300,23
1437809,630560,1438.0,299.5,23.5,4147939662.91,-31104000.0,2,11.06,34.87,26.66,0.31,359161203,1438,300,24
1437810,630561,1438.0,299.5,24.5,4512519778.93,-31104000.0,2,10.89,34.86,26.68,0.33,359161204,1438,300,25
1437811,630562,1438.0,299.5,25.5,4922098631.74,-31104000.0,2,10.7,34.84,26.7,0.35,359161205,1438,300,26
1437812,630563,1438.0,299.5,26.5,5385495197.52,-31104000.0,2,10.49,34.82,26.72,0.37,359161206,1438,300,27
1437813,630564,1438.0,299.5,27.5,5912121138.67,-31104000.0,2,10.3,34.79,26.74,0.39,359161207,1438,300,28
1437814,630565,1438.0,299.5,28.5,6512004075.92,-31104000.0,2,10.1,34.77,26.75,0.4,359161208,1438,300,29
1437815,630566,1438.0,299.5,29.5,7195800350.34,-31104000.0,2,9.89,34.74,26.77,0.42,359161209,1438,300,30
